example_index,question,gold_answer,predicted_answer,method_name,exact_match,token_f1,supporting_title_recall,reader_confidence,question_type,sub_questions,rewritten_sub_questions,retrieved_titles
0,Were Scott Derrickson and Ed Wood of the same nationality?,yes,American,vanilla_rag,0.0,0.0,0.0,0.004848552327871403,comparison,['Were Scott Derrickson and Ed Wood of the same nationality?'],['Were Scott Derrickson and Ed Wood of the same nationality?'],"['Ed Wood (film)', 'Woodson, Arkansas', 'Doctor Strange (2016 film)', 'Sinister (film)']"
1,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Shirley Temple,vanilla_rag,0.0,0.0,0.5,0.009997626766562462,bridge,['What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?'],['What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?'],"['Kiss and Tell (1945 film)', 'A Kiss for Corliss', 'Meet Corliss Archer (TV series)', 'Janet Waldo']"
2,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,Animorphs,vanilla_rag,1.0,1.0,1.0,0.19566359571763314,bridge,"['What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?']","['What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?']","['Animorphs', 'Victoria Hanley', 'The Hork-Bajir Chronicles', 'Starship Troupers']"
3,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,Ortaköy,vanilla_rag,0.0,0.0,1.0,0.06537412153556943,comparison,['Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?'],['Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?'],"['Esma Sultan Mansion', 'Laleli Mosque', 'Sultan Ahmed Mosque', 'Djamaâ el Kebir']"
4,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City",Adriana Trigiani,vanilla_rag,0.0,0.0,0.5,0.10670924835721962,bridge,"['The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?']","['The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?']","['Big Stone Gap (film)', 'Kingston Morning', 'Clinton, Minnesota', 'I Love NY (2015 film)']"
5,2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,FNC Entertainment,vanilla_rag,0.0,0.5,0.5,0.06229791417717934,bridge,['2014 S/S is the debut album of a South Korean boy group that was formed by who?'],['2014 S/S is the debut album of a South Korean boy group that was formed by who?'],"['2014 S/S', 'Seventeen discography', 'History (band)', 'SF9 (band)']"
6,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,Eenasul Fateh,vanilla_rag,1.0,1.0,1.0,0.0538885175192263,bridge,['Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?'],['Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?'],"['Eenasul Fateh', 'Management consulting', 'ELDee', 'Method Man']"
7,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated","1,400",vanilla_rag,0.0,0.0,0.5,0.3004048466682434,bridge,['The arena where the Lewiston Maineiacs played their home games can seat how many people?'],['The arena where the Lewiston Maineiacs played their home games can seat how many people?'],"['Dwyer Arena', 'Lewiston Maineiacs', '2006–07 QMJHL season', 'ArenaBowl XIII']"
8,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,Lady Gaga,vanilla_rag,0.0,0.0,0.5,0.012928578187711537,bridge,"['Who is older, Annie Morton or Terry Richardson?']","['Who is older, Annie Morton or Terry Richardson?']","['Annie Morton', 'Kenton Richardson', 'Lady Gaga x Terry Richardson', 'Gumbo (PJ Morton album)']"
9,Are Local H and For Against both from the United States?,yes,the builder of the house has not been determined,vanilla_rag,0.0,0.0,0.5,0.00016988515562843531,comparison,['Are Local H and For Against both from the United States?'],['Are Local H and For Against both from the United States?'],"['Amherst, Massachusetts', 'William H. Cook Water Tank House', 'Local H', 'Mendocino County GMO Ban']"
